竞彩让球线1,竞彩比赛结果1,竞彩让球线2,竞彩比赛结果2,皇冠让球线1,皇冠比赛结果1,皇冠让球线2,皇冠比赛结果2
-2,负,-2,平,-2.5,胜,-,-
-2,胜,-2,平,-2.25,负,-,-
-2,负,-2,平,-2.25,胜,-,-
-2,胜,-2,平,-2,负,-,-
-2,负,-2,平,-2,胜,-,-
-2,胜,-2,平,-1.75,负,-,-
-2,负,-2,平,-1.75,胜,-,-
-2,胜,-2,平,-1.5,负,-,-
-2,胜,-,-,-2.5,负,-,-
-2,负,-,-,-2.5,胜,净2,胜
-2,胜,-,-,-2.25,负,净2,胜
-2,负,-,-,-2.25,胜,净2,胜
-2,胜,-,-,-2,负,净2,胜
-2,负,-,-,-2,胜,净2,胜
-2,胜,-,-,-1.75,负,净2,胜
-2,负,-,-,-1.75,胜,净2,胜
-2,负,-,-,-1.5,胜,-,-
-2,胜,-,-,-1.5,负,净2,胜
-2,负,-,-,-1.25,胜,-,-
-2,负,-,-,-1,胜,-,-
-1,负,-1,平,-1.5,胜,-,-
-1,胜,-1,平,-1.25,负,-,-
-1,负,-1,平,-1.25,胜,-,-
-1,胜,-1,平,-1,负,-,-
-1,负,-1,平,-1,胜,-,-
-1,胜,-1,平,-0.75,负,-,-
-1,负,-1,平,-0.75,胜,-,-
-1,胜,-1,平,-0.5,负,-,-
-1,胜,-,-,-2,负,-,-
-1,胜,-,-,-1.75,负,-,-
-1,胜,-,-,-1.5,负,-,-
-1,负,-,-,-1.5,胜,净1,胜
-1,胜,-,-,-1.25,负,净1,胜
-1,负,-,-,-1.25,胜,净1,胜
-1,胜,-,-,-1,负,净1,胜
-1,负,-,-,-1,胜,净1,胜
-1,胜,-,-,-0.75,负,净1,胜
-1,负,-,-,-0.75,胜,净1,胜
-1,负,-,-,-0.5,胜,-,-
-1,胜,-,-,-0.5,负,净1,胜
-1,负,-,-,-0.25,胜,-,-
-1,负,-,-,独赢,胜,-,-
-1,负,-,-,0,胜,-,-
胜平负,负,胜平负,平,-0.5,胜,-,-
胜平负,负,-,-,-0.5,胜,独赢,平
胜平负,胜,-,-,-0.5,负,-,-
胜平负,胜,-,-,-0.25,负,独赢,平
胜平负,平,-,-,-0.25,胜,独赢,负
胜平负,负,-,-,-0.25,胜,独赢,平
胜平负,胜,胜平负,平,-0.25,负,-,-
胜平负,负,胜平负,平,-0.25,胜,-,-
胜平负,平,-,-,独赢,胜,-0.25,负
胜平负,胜,-,-,独赢,负,独赢,平
胜平负,平,-,-,独赢,胜,独赢,负
胜平负,负,-,-,独赢,胜,独赢,平
胜平负,胜,胜平负,平,独赢,负,-,-
胜平负,负,胜平负,平,独赢,胜,-,-
胜平负,胜,胜平负,负,独赢,平,-,-
胜平负,胜,-,-,0,负,独赢,平
胜平负,平,-,-,独赢,胜,0,负
胜平负,平,-,-,0,胜,独赢,负
胜平负,负,-,-,0,胜,独赢,平
胜平负,胜,胜平负,平,0,负,-,-
胜平负,负,胜平负,平,0,胜,-,-
胜平负,平,-,-,独赢,胜,0.25,负
胜平负,胜,-,-,0.25,负,独赢,平
胜平负,负,-,-,0.25,胜,独赢,平
胜平负,胜,胜平负,平,0.25,负,-,-
胜平负,负,胜平负,平,0.25,胜,-,-
胜平负,胜,胜平负,平,0.5,负,-,-
胜平负,胜,-,-,0.5,负,独赢,平
胜平负,负,-,-,0.5,胜,-,-
+1,胜,-,-,独赢,负,-,-
+1,胜,-,-,0.5,负,-,-
+1,负,-,-,0.5,胜,净1,负
+1,胜,-,-,0.75,负,净1,负
+1,负,-,-,0.75,胜,净1,负
+1,胜,-,-,1,负,净1,负
+1,负,-,-,1,胜,净1,负
+1,胜,-,-,1.25,负,净1,负
+1,负,-,-,1.25,胜,净1,负
+1,负,-,-,1.5,胜,-,-
+1,胜,-,-,1.5,负,净1,负
+1,负,+1,平,0.5,胜,-,-
+1,胜,+1,平,0.75,负,-,-
+1,负,+1,平,0.75,胜,-,-
+1,胜,+1,平,1,负,-,-
+1,负,+1,平,1,胜,-,-
+1,胜,+1,平,1.25,负,-,-
+1,负,+1,平,1.25,胜,-,-
+1,胜,+1,平,1.5,负,-,-
+2,胜,-,-,1.5,负,-,-
+2,负,-,-,1.5,胜,净2,负
+2,胜,-,-,1.75,负,净2,负
+2,负,-,-,1.75,胜,净2,负
+2,胜,-,-,2,负,净2,负
+2,负,-,-,2,胜,净2,负
+2,胜,-,-,2.25,负,净2,负
+2,负,-,-,2.25,胜,净2,负
+2,负,-,-,2.5,胜,-,-
+2,胜,-,-,2.5,负,净2,负
+2,负,+2,平,1.5,胜,-,-
+2,胜,+2,平,1.75,负,-,-
+2,负,+2,平,1.75,胜,-,-
+2,胜,+2,平,2,负,-,-
+2,负,+2,平,2,胜,-,-
+2,胜,+2,平,2.25,负,-,-
+2,负,+2,平,2.25,胜,-,-
+2,胜,+2,平,2.5,负,-,-
