投注方式,竞彩让球线1,竞彩比赛结果1,竞彩让球线2,竞彩比赛结果2,皇冠让球线1,皇冠比赛结果1,皇冠让球线2,皇冠比赛结果2
WL,-,a,-,-,0.5,h,-,-
WL,+1,h,-,-,-,a,-,-
WL,+1,h,-,-,0.5,a,-,-
WL,-,h,-,-,-0.5,a,-,-
WL,-1,a,-,-,-,h,-,-
WL,-1,a,-,-,-0.5,h,-,-
WL,-1,a,-,-,-0.25,h,-,-
WL,-1,h,-,-,-1.5,a,-,-
WL,-1,h,-,-,-1.75,a,-,-
WL,-2,a,-,-,-1.5,h,-,-
WL,-2,a,-,-,-1.25,h,-,-
WL,-2,a,-,-,-1,h,-,-
WL,-1,a,-,-,0,h,-,-
WLD1,-,h,-,d,-,a,-,-
WLD1,-,a,-,d,-,h,-,-
WLD1,-,h,-,a,-,d,-,-
WLD1,-,h,-,d,0.5,a,-,-
WLD1,+1,a,+1,d,0.5,h,-,-
WLD1,-,a,-,d,-0.5,h,-,-
WLD1,-1,h,-1,d,-0.5,a,-,-
WLD1,-1,a,-1,d,-1.5,h,-,-
WLD1,-2,h,-2,d,-1.5,a,-,-
WLD2,-,h,-,-,-,a,-,d
WLD2,-,d,-,-,-,h,-,a
WLD2,-,a,-,-,-,h,-,d
WLD2,-,h,-,-,0.5,a,-,d
WLD2,+1,a,-,-,0.5,h,J1,a
WLD2,-,a,-,-,-0.5,h,-,d
WLD2,-1,h,-,-,-0.5,a,J1,h
WLD2,-1,a,-,-,-1.5,h,J1,h
WLD2,-2,h,-,-,-1.5,a,J2,h
LH1,-,h,-,d,0.25,a,-,-
LH1,+1,a,+1,d,0.75,h,-,-
LH1,-,a,-,d,-0.25,h,-,-
LH1,-1,h,-1,d,-0.75,a,-,-
LH1,-1,a,-1,d,-1.25,h,-,-
LH1,-2,h,-2,d,-1.75,a,-,-
LH1,-2,a,-2,d,-2.25,h,-,-
LH1,+1,h,+1,d,1.25,a,-,-
LH2,-,h,-,-,0.25,a,-,d
LH2,+1,a,-,-,0.75,h,J1,a
LH2,-,a,-,-,-0.25,h,-,d
LH2,-1,h,-,-,-0.75,a,J1,h
LH2,-1,a,-,-,-1.25,h,J1,h
LH2,-2,h,-,-,-1.75,a,J2,h
LH2,-2,a,-,-,-2.25,h,J2,h
LH2,+1,h,-,-,1.25,a,J1,a
LH3,-,d,-,-,-,h,0.25,a
LH3,-,d,-,-,-0.25,h,-,a
WH1,-,a,-,d,0.25,h,-,-
WH1,+1,h,+1,d,0.75,a,-,-
WH1,-,h,-,d,-0.25,a,-,-
WH1,-1,a,-1,d,-0.75,h,-,-
WH1,-1,h,-1,d,-1.25,a,-,-
WH1,-2,a,-2,d,-1.75,h,-,-
WH1,-2,h,-2,d,-2.25,a,-,-
WH1,+1,a,+1,d,1.25,h,-,-
WH2,-,a,-,-,0.25,h,-,d
WH2,+1,h,-,-,0.75,a,J1,a
WH2,-,h,-,-,-0.25,a,-,d
WH2,-1,a,-,-,-0.75,h,J1,h
WH2,-1,h,-,-,-1.25,a,J1,h
WH2,-2,a,-,-,-1.75,h,J2,h
WH2,-2,h,-,-,-2.25,a,J2,h
WH2,+1,a,-,-,1.25,h,J1,a
WH3,-,d,-,-,-,h,-0.25,a
D1,-,h,-,d,0,a,-,-
D1,-,a,-,d,0,h,-,-
D1,-1,h,-1,d,-1,a,-,-
D1,-1,a,-1,d,-1,h,-,-
D1,+1,h,+1,d,1,a,-,-
D1,+1,a,+1,d,1,h,-,-
D1,-2,h,-2,d,-2,a,-,-
D1,-2,a,-2,d,-2,h,-,-
D2,-,h,-,-,0,a,-,d
D2,-,a,-,-,0,h,-,d
D2,-1,h,-,-,-1,a,J1,h
D2,-1,a,-,-,-1,h,J1,h
D2,+1,h,-,-,1,a,J1,a
D2,+1,a,-,-,1,h,J1,a
D2,-2,h,-,-,-2,a,J2,h
D2,-2,a,-,-,-2,h,J2,h
D3,-,d,-,-,-,h,0,a
D3,-,d,-,-,0,h,-,a
