竞彩让球线,竞彩比赛结果,皇冠让球线1,皇冠比赛结果1,皇冠让球线2,皇冠比赛结果2
-3,a,-2.5,h,-,-
-2,h,-2.5,a,-,-
-2,h,-2.25,a,J2,h
-2,h,-2,a,J2,h
-2,a,-1.75,h,J2,h
-2,a,-1.5,h,-,-
-1,h,-1.5,a,-,-
-1,h,-1.25,a,J1,h
-1,h,-1,a,J1,h
-1,a,-1,h,J1,h
-1,a,-0.75,h,J1,h
-1,h,-0.75,a,J1,h
-1,a,-0.5,h,-,-
-1,a,-,h,-,-
-,h,-0.5,a,-,-
-,a,-0.25,h,-,d
-,h,-0.25,a,-,d
-,h,0,a,-,d
-,h,-,a,-,d
-,a,-,h,-,d
-,d,-,h,0,a
-,a,0,h,-,d
-,d,-,h,-,a
-,d,0,h,-,a
-,d,-,h,0.25,a
-,h,0.25,a,-,d
-,a,0.25,h,-,d
-,a,0.5,h,-,-
-,h,0.5,a,-,d
+1,h,-,a,-,-
+1,h,0.5,a,-,-
+1,a,0.5,h,J1,a
+1,h,0.75,a,J1,a
+1,a,1,h,J1,a
+1,a,1.25,h,J1,a
+1,a,1.5,h,-,-
+2,a,2,h,J2,a
