竞彩0球,竞彩1球,竞彩2球,竞彩3球,竞彩4球,竞彩5球,竞彩6球,竞彩7球,皇冠让球线1,皇冠比赛结果1,皇冠让球线2,皇冠比赛结果2
false,false,false,false,true,true,true,true,4,X,-,-
false,false,false,true,true,false,false,false,3,X,3.5,D
false,false,false,true,true,true,false,false,3.25,X,3.5,D
false,false,false,true,true,true,false,false,3.75,X,4,D
false,false,false,true,true,true,false,false,3.5,X,3.75,D
false,false,false,true,true,true,false,false,3.5,X,4,D
false,false,false,true,true,true,false,false,3.25,X,3.75,D
false,false,false,true,true,true,false,false,3.25,X,4,D
false,false,false,true,true,true,true,true,3.25,X,-,-
false,false,false,true,true,true,true,true,3.5,X,-,-
false,false,false,true,true,true,true,true,3,X,-,-
false,false,false,true,true,true,true,true,3.75,X,-,-
false,false,true,true,false,false,false,false,2,X,2.5,D
false,false,true,true,false,false,false,false,2,X,2.75,D
false,false,true,true,true,false,false,false,2.75,X,3,D
false,false,true,true,true,false,false,false,2.5,X,2.75,D
false,false,true,true,true,false,false,false,2.5,X,3,D
false,false,true,true,true,false,false,false,2.25,X,2.5,D
false,false,true,true,true,false,false,false,2.25,X,2.75,D
false,false,true,true,true,false,false,false,2.25,X,3,D
false,false,true,true,true,false,false,false,2.75,X,3.25,D
false,false,true,true,true,false,false,false,2.5,X,3.25,D
false,false,true,true,true,true,true,true,2.75,X,-,-
false,false,true,true,true,true,true,true,2.5,X,-,-
false,false,true,true,true,true,true,true,2.25,X,-,-
false,false,true,true,true,true,true,true,2,X,-,-
false,true,true,true,false,false,false,false,1.75,X,2,D
false,true,true,true,false,false,false,false,1.75,X,2.25,D
false,true,true,true,false,false,false,false,1.5,X,1.75,D
false,true,true,true,false,false,false,false,1.5,X,2,D
false,true,true,true,false,false,false,false,1.5,X,2.25,D
false,true,true,true,false,false,false,false,1.75,X,2.5,D
false,true,true,true,true,true,true,true,1.75,X,-,-
false,true,true,true,true,true,true,true,1.5,X,-,-
true,true,true,false,false,false,false,false,1.75,D,-,-
true,true,true,false,false,false,false,false,1.5,D,-,-
true,true,true,false,false,false,false,false,2,D,-,-
true,true,true,true,false,false,false,false,3,D,-,-
true,true,true,true,false,false,false,false,2.75,D,-,-
true,true,true,true,false,false,false,false,2.5,D,-,-
true,true,true,true,false,false,false,false,2.25,D,-,-
true,true,true,true,true,false,false,false,3.25,D,-,-
true,true,true,true,true,false,false,false,3.5,D,-,-
true,true,true,true,true,false,false,false,3.75,D,-,-
true,true,true,true,true,false,false,false,4,D,-,-
